n	ne	e	se	s	sw	w	nw	c	distance	1-live	1-kitchen	2-live	2-kitchen	3-live	3-kitchen	4-live	4-kitchen	1	last	any	n-floor	kirpich	panel	block	price
0	0	0	0	1	0	0	0	0	0,551334578	0	0	0	0	0	0,266666667	0	0	0	0	1	0,4	0	1	0	4054
0	0	0	0	1	0	0	0	0	0,435577092	0	0	0	0	0	0,333333333	0	0	0	0	1	1	0	1	0	3800
0	0	0	0	1	0	0	0	0	0,331022224	0	0	0	0	0	0,133333333	0	0	0	0	1	0,5	0	1	0	4743
0	0	0	0	1	0	0	0	0	0,311866389	0	0	0	0	0	0,133333333	0	0	0	1	0	1	0	1	0	4000
0	0	0	0	1	0	0	0	0	0,199574593	0	0	0	0	0	0,066666667	0	0	0	0	1	1	0	1	0	3780
0	0	0	0	1	0	0	0	0	0,436181349	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	0	1	0	4262
0	0	0	0	1	0	0	0	0	0,189202096	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	0	1	0	4333
0	0	0	0	1	0	0	0	0	0,132402289	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	0	1	0	4210
0	0	0	0	1	0	0	0	0	0,564873604	0	0	0,367647059	0,066666667	0	0	0	0	0	0	1	0,4	0	0	1	4210
0	0	0	0	1	0	0	0	0	0,328963627	0	0	0,455882353	0,2	0	0	0	0	0	1	0	0,4	0	0	1	3412
0	0	0	0	1	0	0	0	0	0,299369672	0	0	0,352941176	0,133333333	0	0	0	0	0	1	0	0,4	0	0	1	4107
0	0	0	0	1	0	0	0	0	0,270556157	0	0	0,632352941	0,333333333	0	0	0	0	1	0	0	0,8	0	0	1	3533
0	0	0	0	1	0	0	0	0	0,042159453	0	0	0,367647059	0,066666667	0	0	0	0	0	1	0	0,4	0	0	1	3473
0	0	0	0	1	0	0	0	0	0,586417471	0,8	0,1	0	0	0	0	0	0	0	1	0	0,2	0	0	1	5754
0	0	0	0	1	0	0	0	0	0,457232541	1	0,4	0	0	0	0	0	0	1	0	0	0,4	0	0	1	4144
0	0	0	0	1	0	0	0	0	0,399425954	1	0,8	0	0	0	0	0	0	0	0	1	0,4	0	0	1	5625
0	0	0	0	1	0	0	0	0	0,338212054	0,942857143	0,1	0	0	0	0	0	0	0	1	0	0,4	0	0	1	3793
0	0	0	0	1	0	0	0	0	0,076839927	1	0,4	0	0	0	0	0	0	0	0	1	0,4	0	0	1	3767
0	0	0	0	1	0	0	0	0	0,398596234	0	0	0	0	0,094594595	0,266666667	0	0	0	0	1	0,5	0	0	1	4393
0	0	0	0	1	0	0	0	0	0,132402289	0	0	0	0	0	0	0,095744681	0,214285714	0	0	1	0,9	0	0	1	3750
0	0	0	0	0	1	0	0	0	0,809442215	0	0	0,117647059	0,266666667	0	0	0	0	0	0	1	0,8	1	0	0	4000
0	0	0	0	0	1	0	0	0	0,393653984	0	0	0,088235294	0,333333333	0	0	0	0	0	0	1	0,9	1	0	0	5000
0	0	0	0	0	1	0	0	0	0,121834951	0	0	0,014705882	0,2	0	0	0	0	0	1	0	0,5	1	0	0	5151
0	0	0	0	0	1	0	0	0	0,763658747	0,257142857	0,1	0	0	0	0	0	0	0	0	1	0,4	1	0	0	4705
